2018-12-17T03:44:26.279+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27018 dbpath=/data/db 64-bit host=5b59c1bbae51
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] db version v4.0.4
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] git version: f288a3bdf201007f3693c58e140056adf8b04839
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] modules: none
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] build environment:
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-12-17T03:44:26.284+0000 I CONTROL  [initandlisten] options: { config: "/data/db/mongod.conf", net: { bindIpAll: true }, replication: { replSetName: "rs_shardsvr0" }, sharding: { clusterRole: "shardsvr" }, storage: { dbPath: "/data/db", wiredTiger: { engineConfig: { cacheSizeGB: 0.25 } } }, systemLog: { destination: "file", logAppend: true, path: "/data/db/log/shards.log" } }
2018-12-17T03:44:26.284+0000 I STORAGE  [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-12-17T03:44:26.284+0000 I STORAGE  [initandlisten] 
2018-12-17T03:44:26.284+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2018-12-17T03:44:26.284+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2018-12-17T03:44:26.284+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-12-17T03:44:27.019+0000 I STORAGE  [initandlisten] WiredTiger message [1545018267:19567][1:0x7f626fe7aa40], txn-recover: Main recovery loop: starting at 3/9984 to 4/256
2018-12-17T03:44:27.019+0000 I STORAGE  [initandlisten] WiredTiger message [1545018267:19915][1:0x7f626fe7aa40], txn-recover: Recovering log 3 through 4
2018-12-17T03:44:27.133+0000 I STORAGE  [initandlisten] WiredTiger message [1545018267:133328][1:0x7f626fe7aa40], txn-recover: Recovering log 4 through 4
2018-12-17T03:44:27.176+0000 I STORAGE  [initandlisten] WiredTiger message [1545018267:176601][1:0x7f626fe7aa40], txn-recover: Set global recovery timestamp: 5c1717d600000001
2018-12-17T03:44:27.648+0000 I RECOVERY [initandlisten] WiredTiger recoveryTimestamp. Ts: Timestamp(1545017302, 1)
2018-12-17T03:44:27.648+0000 I STORAGE  [initandlisten] Triggering the first stable checkpoint. Initial Data: Timestamp(1545017302, 1) PrevStable: Timestamp(0, 0) CurrStable: Timestamp(1545017302, 1)
2018-12-17T03:44:27.856+0000 I STORAGE  [initandlisten] Starting OplogTruncaterThread local.oplog.rs
2018-12-17T03:44:27.857+0000 I STORAGE  [initandlisten] The size storer reports that the oplog contains 221 records totaling to 26557 bytes
2018-12-17T03:44:27.857+0000 I STORAGE  [initandlisten] Scanning the oplog to determine where to place markers for truncation
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] 
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] 
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] 
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] 
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/defrag is 'always'.
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2018-12-17T03:44:28.085+0000 I CONTROL  [initandlisten] 
2018-12-17T03:44:28.672+0000 I SHARDING [initandlisten] initializing sharding state with: { shardName: "rs_shardsvr0", clusterId: ObjectId('5c170d9f5eb5f8742ae0be8b'), configsvrConnectionString: "rs_configsvr/172.17.0.3:27019,172.17.0.4:27019,172.17.0.5:27019" }
2018-12-17T03:44:28.672+0000 I NETWORK  [initandlisten] Starting new replica set monitor for rs_configsvr/172.17.0.3:27019,172.17.0.4:27019,172.17.0.5:27019
2018-12-17T03:44:28.672+0000 I SHARDING [initandlisten] Finished initializing sharding components for secondary node.
2018-12-17T03:44:28.673+0000 I SHARDING [thread1] creating distributed lock ping thread for process 5b59c1bbae51:27018:1545018268:5723862615233728892 (sleeping for 30000ms)
2018-12-17T03:44:28.673+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to 172.17.0.3:27019 (1 connections now open to 172.17.0.3:27019 with a 5 second timeout)
2018-12-17T03:44:28.673+0000 I NETWORK  [shard registry reload] Successfully connected to 172.17.0.4:27019 (1 connections now open to 172.17.0.4:27019 with a 5 second timeout)
2018-12-17T03:44:28.673+0000 I NETWORK  [initandlisten] Successfully connected to 172.17.0.5:27019 (1 connections now open to 172.17.0.5:27019 with a 5 second timeout)
2018-12-17T03:44:28.673+0000 W NETWORK  [initandlisten] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:28.674+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.3:27019
2018-12-17T03:44:28.674+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.4:27019
2018-12-17T03:44:28.674+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.3:27019
2018-12-17T03:44:29.176+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:29.677+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:30.178+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:30.679+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:31.180+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:31.681+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:32.182+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:32.684+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:33.185+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:33.686+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:34.188+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:34.689+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:35.190+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:35.692+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:36.193+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:36.694+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:37.196+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:37.697+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:38.198+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:38.700+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:39.201+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-17T03:44:39.660+0000 I NETWORK  [shard registry reload] Starting new replica set monitor for rs_shardsvr0/172.17.0.6:27018,172.17.0.7:27018,172.17.0.8:27018
2018-12-17T03:44:39.660+0000 I NETWORK  [shard registry reload] Starting new replica set monitor for rs_shardsvr1/172.17.0.10:27018,172.17.0.11:27018,172.17.0.9:27018
2018-12-17T03:44:39.660+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_shardsvr0
2018-12-17T03:44:39.660+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Cannot reach any nodes for set rs_shardsvr0. Please check network connectivity and the status of the set. This has happened for 1 checks in a row.
2018-12-17T03:44:39.661+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_shardsvr1
2018-12-17T03:44:39.661+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Cannot reach any nodes for set rs_shardsvr1. Please check network connectivity and the status of the set. This has happened for 1 checks in a row.
2018-12-17T03:44:39.662+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
2018-12-17T03:44:39.664+0000 I REPL     [initandlisten] Rollback ID is 1
2018-12-17T03:44:39.664+0000 I REPL     [initandlisten] Recovering from stable timestamp: Timestamp(1545017302, 1) (top of oplog: { ts: Timestamp(1545017302, 1), t: 3 }, appliedThrough: { ts: Timestamp(0, 0), t: -1 }, TruncateAfter: Timestamp(0, 0))
2018-12-17T03:44:39.664+0000 I REPL     [initandlisten] Starting recovery oplog application at the stable timestamp: Timestamp(1545017302, 1)
2018-12-17T03:44:39.664+0000 I REPL     [initandlisten] No oplog entries to apply for recovery. Start point is at the top of the oplog.
2018-12-17T03:44:39.665+0000 I NETWORK  [initandlisten] waiting for connections on port 27018
2018-12-17T03:44:39.665+0000 I REPL     [replexec-0] New replica set config in use: { _id: "rs_shardsvr0", version: 1, protocolVersion: 1, writeConcernMajorityJournalDefault: true, members: [ { _id: 0, host: "172.17.0.6:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "172.17.0.7:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "172.17.0.8:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5c170ec6c080f36ebcab0872') } }
2018-12-17T03:44:39.665+0000 I REPL     [replexec-0] This node is 172.17.0.6:27018 in the config
2018-12-17T03:44:39.665+0000 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2018-12-17T03:44:39.666+0000 I NETWORK  [listener] connection accepted from 172.17.0.6:39508 #8 (1 connection now open)
2018-12-17T03:44:39.666+0000 I ASIO     [Replication] Connecting to 172.17.0.7:27018
2018-12-17T03:44:39.666+0000 I REPL     [replexec-0] Starting replication storage threads
2018-12-17T03:44:39.666+0000 I NETWORK  [conn8] received client metadata from 172.17.0.6:39508 conn8: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-17T03:44:39.666+0000 I ASIO     [Replication] Connecting to 172.17.0.8:27018
2018-12-17T03:44:39.666+0000 I ASIO     [Replication] Failed to connect to 172.17.0.7:27018 - HostUnreachable: Error connecting to 172.17.0.7:27018 :: caused by :: Connection refused
